id,latitude,longitude,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
14267222,40.66080856,-73.94963228,92,10,10,10,10,8,10,2.44
4089102,40.68406815,-73.95487121,91,10,9,9,10,8,9,2.46
245504,40.85887508,-73.92886263,95,10,10,10,10,8,10,2.48
18715285,40.67323882,-73.92502289,100,10,10,10,10,8,10,2.5
6462513,40.68520704,-73.93707299,92,10,9,10,9,8,9,2.63
570750,40.67391421,-73.94039426,94,10,10,10,10,8,9,2.7
4309648,40.68567591,-73.9526622,94,10,10,10,10,8,9,2.71
4033521,40.67441275,-73.9237078,93,10,10,10,10,8,9,2.75
6130778,40.78623954,-73.94291729,89,10,8,10,10,8,9,2.79
17700246,40.79477001,-73.93451571,97,10,10,10,10,8,10,2.82
11798453,40.63785704,-73.94432618,93,10,10,10,10,8,10,2.89
19778288,40.69745397,-73.97339404,80,7,7,10,10,9,8,2.14
15266472,40.70487401,-73.93852045,83,8,8,9,10,9,9,2.08
5191938,40.7106956,-73.96037058,83,8,8,9,9,9,8,2.12
2140284,40.79369836,-73.95010124,85,8,7,10,10,9,9,2.17
15536769,40.71609965,-73.99827941,82,8,8,8,9,9,8,2.19
17121485,40.71159002,-73.94158521,73,8,5,9,9,9,8,2.34
19294675,40.73758053,-73.98568591,67,8,6,9,8,9,7,2.37
17239807,40.67203066,-73.92199846,83,8,7,9,8,9,9,2.5
16124627,40.73034972,-73.97863669,84,8,8,9,9,9,9,2.51
13396285,40.69442561,-73.9463597,82,8,7,9,9,9,8,2.66
15984822,40.79523416,-73.94762486,80,8,9,8,9,9,8,2.74
14499172,40.74450388,-73.98604646,78,8,8,9,9,9,8,2.81
6078066,40.72233781,-73.98937696,77,8,8,8,8,9,8,2.84
13551312,40.7615664,-73.9996865,84,8,8,8,7,9,9,2.98
16084355,40.76737679,-73.95400296,80,8,8,9,9,9,9,2.99
302309,40.80688493,-73.94753544,100,9,8,7,9,9,8,0.03
2091367,40.67667438,-73.9572936,70,9,5,10,10,9,7,0.04
3263561,40.75715709,-73.91775395,89,9,9,9,9,9,9,0.05
3265407,40.67303006,-73.96424401,90,9,8,8,9,9,8,0.05
3264684,40.68120457,-74.00115688,90,9,9,9,9,9,7,0.05
11667910,40.807972,-73.94242731,92,9,8,9,10,9,9,2.01
1999109,40.71223212,-73.95201915,87,9,8,9,9,9,9,2.02
3220443,40.72256579,-73.97778563,88,9,8,10,10,9,9,2.02
14826817,40.64087878,-73.96306057,90,9,9,10,10,9,9,2.02
17765841,40.74923248,-73.8056767,92,9,10,9,9,9,9,2.03
5612772,40.74790474,-73.98682786,85,9,8,9,9,9,9,2.04
13075213,40.80267102,-73.95422133,86,9,9,10,10,9,9,2.04
13276614,40.79003721,-73.94703005,91,9,9,9,9,9,9,2.04
4315562,40.71046904,-73.95167956,90,9,9,10,10,9,9,2.05
17366491,40.80020625,-73.96156176,84,9,9,9,10,9,9,2.07
9486111,40.78590507,-73.94831544,92,9,9,10,9,9,9,2.08
8272749,40.69449446,-73.99727436,84,9,8,10,10,9,9,2.1
14323803,40.64386129,-73.9819469,87,9,9,10,9,9,9,2.1
6746977,40.72137549,-73.98376827,90,9,9,10,10,9,9,2.1
8501323,40.68840115,-73.95821644,84,9,9,9,9,9,9,2.12
64365,40.67585691,-73.95154802,95,9,10,10,9,9,10,2.13
1077375,40.75959355,-73.90834891,87,9,9,9,9,9,9,2.14
8152675,40.72995152,-73.98134591,84,9,9,9,8,9,8,2.15
12972533,40.71771843,-73.98881851,88,9,9,9,10,9,9,2.15
18490917,40.75678681,-73.99095801,93,9,9,10,9,9,9,2.16
14795704,40.88541002,-73.85885492,85,9,8,9,10,9,9,2.17
17496320,40.7270096,-73.8702246,98,9,9,9,9,9,9,2.17
1233065,40.71014164,-73.99046565,88,9,8,9,9,9,9,2.19
9668,40.82245163,-73.95103643,88,9,8,9,9,9,9,2.2
562478,40.77081607,-73.95052071,90,9,9,9,10,9,9,2.2
11161938,40.77283552,-73.92491637,91,9,10,9,9,9,9,2.2
2263265,40.80119411,-73.95295403,92,9,9,10,10,9,9,2.2
19947116,40.70753534,-73.90841844,100,9,10,10,10,9,9,2.2
16614276,40.80621356,-73.95667168,84,9,7,10,9,9,9,2.26
17714367,40.72670373,-73.9401331,87,9,8,9,9,9,9,2.26
11240515,40.74838663,-73.99637717,83,9,8,9,9,9,8,2.28
19315591,40.75636449,-73.76281417,87,9,9,10,10,9,8,2.28
8069112,40.78866897,-73.94275459,89,9,9,9,9,9,9,2.28
16546557,40.72197884,-73.98784711,93,9,9,10,10,9,9,2.28
16861746,40.741841,-73.98265035,86,9,8,10,10,9,8,2.29
2748128,40.69819747,-73.92852069,88,9,9,9,9,9,9,2.31
8541991,40.62418591,-73.96287443,93,9,9,9,9,9,9,2.32
